waste_type,quantity_kg,composition_pct,contamination_pct,moisture_pct,generation_frequency_per_week,processing_cost_per_tonne,transport_distance_km,target_pathway
Organic,2485.5,31.39,73.85,73.9,0.25,201.04,48.0,Disposal
E-waste,26495.9,62.78,13.28,10.41,1.0,218.03,153.7,Material Recovery
Industrial Residue,91.7,54.15,25.78,14.28,0.25,292.67,185.2,Material Recovery
Metal,35674.6,98.09,10.11,5.75,14.0,67.14,52.2,Reuse
Industrial Residue,544.4,56.04,30.73,13.01,3.5,335.71,213.3,Material Recovery
Construction,517.9,87.42,1.89,4.82,2.0,29.56,43.5,Reuse
Rubber,27404.9,65.75,26.08,26.23,3.5,77.56,29.7,Energy Recovery
Paper,4661.4,28.77,45.3,83.19,7.0,263.97,334.6,Disposal
Rubber,583.3,55.38,38.43,19.85,0.5,162.78,166.0,Energy Recovery
Textile,2030.7,46.97,44.82,15.41,1.0,176.53,225.9,Energy Recovery
Glass,179.2,93.75,8.64,4.05,2.0,98.34,17.0,Recycling
Construction,4342.6,43.32,90.39,69.15,5.0,386.31,266.0,Disposal
Textile,231.1,76.12,12.28,16.63,0.5,75.2,234.3,Recycling
E-waste,7579.7,76.32,29.16,9.89,1.0,232.97,254.4,Material Recovery
Rubber,72.2,60.35,47.53,15.31,1.0,192.35,136.6,Energy Recovery
Organic,87.7,43.05,87.69,43.77,5.0,371.05,215.2,Disposal
Organic,773.1,13.36,55.0,81.8,5.0,342.11,232.4,Disposal
Metal,518.9,83.95,3.75,4.09,2.0,77.08,118.3,Reuse
Metal,3896.3,57.11,19.76,3.88,1.0,113.88,220.4,Material Recovery
Plastic,118.2,67.99,19.68,13.95,5.0,99.57,10.2,Recycling
Glass,31752.2,80.85,23.55,9.87,0.5,156.21,146.4,Recycling
Wood,1475.4,82.17,7.25,17.98,0.5,55.78,65.4,Reuse
Textile,20201.5,88.28,8.52,3.15,2.0,84.18,105.5,Reuse
Industrial Residue,285.8,64.95,23.29,14.81,2.0,265.76,266.4,Material Recovery
Metal,473.8,81.6,7.78,5.48,14.0,55.1,84.4,Reuse
Organic,1518.5,17.13,81.61,48.35,1.0,249.84,408.9,Disposal
E-waste,109.3,83.5,37.91,10.75,2.0,184.64,66.0,Material Recovery
Rubber,12900.7,41.37,23.05,13.53,3.5,89.92,240.2,Energy Recovery
Metal,21560.4,81.6,16.03,7.33,2.0,192.51,108.2,Material Recovery
Industrial Residue,399.2,71.05,39.23,22.45,3.5,242.55,38.9,Material Recovery
Paper,68.5,89.49,18.92,17.04,1.0,48.61,248.6,Recycling
Plastic,92.3,53.6,20.89,34.37,2.0,186.09,269.3,Energy Recovery
Industrial Residue,160.6,48.19,20.21,27.6,3.5,222.6,247.9,Material Recovery
Industrial Residue,17968.3,7.13,85.58,77.37,7.0,443.47,110.0,Disposal
Textile,733.5,9.88,89.21,76.46,5.0,285.75,440.5,Disposal
Metal,5913.3,92.28,6.12,7.58,2.0,51.72,143.8,Reuse
Industrial Residue,113.2,35.06,18.89,25.64,5.0,195.93,279.7,Energy Recovery
Metal,6375.0,76.0,34.45,2.99,5.0,273.73,300.3,Material Recovery
Organic,1152.9,26.32,57.9,66.93,7.0,365.11,425.5,Disposal
Industrial Residue,445.4,19.26,53.85,49.13,1.0,306.81,48.4,Disposal
Wood,2127.1,87.35,11.86,12.18,1.0,25.94,68.3,Reuse
Glass,8449.0,92.84,11.38,4.19,0.5,45.27,22.3,Reuse
Construction,39848.8,33.63,86.89,26.26,2.0,429.27,304.8,Disposal
Paper,99.0,72.85,14.26,14.93,14.0,103.38,211.5,Recycling
Wood,25329.6,81.13,0.61,14.68,3.5,23.43,82.3,Reuse
Textile,2180.2,44.47,36.56,18.56,1.0,226.3,163.4,Energy Recovery
Glass,58.3,82.47,9.18,8.13,0.25,161.84,116.4,Recycling
Plastic,511.8,94.72,18.79,9.78,5.0,111.87,180.1,Recycling
Construction,25064.6,59.95,16.5,27.73,5.0,294.54,198.0,Material Recovery
Wood,11145.8,37.65,42.7,29.9,7.0,94.92,253.3,Energy Recovery
Metal,104.6,84.02,18.79,3.17,0.25,81.62,96.4,Recycling
Construction,393.9,79.29,11.0,15.8,2.0,61.76,31.7,Reuse
Metal,1408.6,49.94,40.06,8.39,2.0,321.87,69.0,Material Recovery
Construction,697.4,7.93,80.42,69.98,3.5,433.85,190.6,Disposal
Industrial Residue,33682.2,52.52,32.89,5.82,0.5,205.69,195.2,Material Recovery
Organic,15536.5,13.82,90.0,80.42,0.5,213.46,198.7,Disposal
Metal,813.2,55.54,40.44,9.18,1.0,277.25,55.0,Material Recovery
Paper,2313.2,68.98,7.75,13.67,1.0,43.55,94.9,Recycling
E-waste,31413.0,79.99,37.57,30.39,14.0,216.09,182.6,Material Recovery
Organic,783.6,60.23,19.82,43.15,1.0,200.7,134.6,Energy Recovery
Textile,1435.2,97.23,10.26,3.83,1.0,44.09,15.3,Reuse
Industrial Residue,710.8,28.98,78.65,25.64,3.5,441.58,286.3,Disposal
Construction,1185.7,69.26,17.59,19.52,7.0,114.94,90.5,Material Recovery
Metal,51.8,62.58,21.49,4.28,1.0,160.95,240.6,Material Recovery
Construction,2366.2,51.2,36.03,5.88,7.0,205.67,127.6,Material Recovery
E-waste,152.4,64.51,31.38,19.89,1.0,301.99,74.3,Material Recovery
Metal,15851.2,84.12,8.59,5.0,5.0,16.13,155.8,Reuse
Rubber,316.7,42.39,46.21,25.2,2.0,99.25,72.7,Energy Recovery
Construction,791.0,81.31,7.22,16.26,1.0,94.79,94.2,Reuse
Glass,20363.9,77.61,23.86,3.82,5.0,90.71,173.9,Recycling
Textile,54.3,87.7,11.67,15.63,3.5,67.95,99.0,Reuse
Organic,1233.0,11.11,82.06,49.67,2.0,280.05,280.6,Disposal
Plastic,303.6,69.22,10.47,8.45,1.0,141.76,239.0,Recycling
Industrial Residue,594.1,64.61,15.17,23.8,2.0,263.01,284.3,Material Recovery
Organic,3844.9,36.64,51.94,57.84,1.0,186.31,87.9,Disposal
Industrial Residue,2483.3,75.12,35.03,21.88,14.0,264.06,118.2,Material Recovery
Plastic,376.3,82.94,10.49,12.02,1.0,51.43,226.3,Recycling
Wood,543.5,60.5,25.8,29.23,2.0,188.43,41.3,Energy Recovery
Rubber,4346.4,43.14,33.26,32.18,1.0,162.21,119.6,Energy Recovery
Glass,284.6,82.94,8.58,2.71,0.5,26.37,25.9,Reuse
Construction,24311.1,41.06,79.31,49.79,3.5,403.99,251.4,Disposal
Plastic,181.4,69.87,13.18,8.69,3.5,146.75,146.3,Recycling
Industrial Residue,235.7,22.22,76.5,32.24,1.0,268.9,172.8,Disposal
Plastic,50.3,87.95,9.45,10.02,1.0,11.66,167.6,Reuse
Industrial Residue,30602.6,45.59,34.3,21.23,2.0,90.34,142.9,Energy Recovery
Metal,124.9,56.88,20.69,3.94,0.5,241.43,30.0,Material Recovery
Rubber,8795.0,65.93,12.09,13.76,1.0,102.38,202.9,Recycling
Industrial Residue,262.5,27.74,65.07,81.74,5.0,247.61,290.1,Disposal
Wood,2832.9,79.96,5.33,16.38,3.5,82.82,139.0,Reuse
Paper,133.4,93.85,6.32,26.46,1.0,101.47,59.6,Recycling
Industrial Residue,228.6,12.69,62.54,38.93,5.0,268.53,278.9,Disposal
Industrial Residue,88.6,67.36,41.1,14.46,2.0,204.75,85.0,Energy Recovery
Wood,398.9,40.91,23.57,27.62,1.0,114.17,234.2,Energy Recovery
Wood,3983.0,66.59,31.71,20.32,5.0,72.02,251.2,Energy Recovery
Industrial Residue,3209.6,23.22,79.73,40.26,7.0,429.29,25.3,Disposal
Industrial Residue,1860.4,60.9,31.23,7.42,0.25,302.09,54.6,Material Recovery
Metal,34782.0,62.14,38.83,2.69,3.5,319.28,167.2,Material Recovery
Organic,1927.2,37.67,69.88,75.71,1.0,261.07,47.3,Disposal
Industrial Residue,1208.3,78.3,40.84,18.22,2.0,116.29,50.5,Material Recovery
Construction,121.6,27.34,64.11,59.65,7.0,163.1,368.5,Disposal
Wood,976.5,88.15,0.5,5.88,2.0,65.65,86.4,Reuse
Construction,17730.7,83.89,6.32,6.8,5.0,18.97,173.1,Reuse
Rubber,1541.1,40.8,52.56,10.09,14.0,190.96,74.2,Energy Recovery
Glass,8774.1,71.57,6.67,1.53,2.0,96.14,141.8,Recycling
Plastic,123.6,65.36,20.61,27.55,5.0,90.25,161.3,Recycling
E-waste,34748.7,48.2,29.9,20.65,1.0,282.11,290.6,Material Recovery
Plastic,12153.3,7.62,52.37,80.45,0.5,281.02,180.9,Disposal
Paper,304.8,17.73,79.79,45.56,3.5,304.87,125.7,Disposal
E-waste,144.9,61.22,33.29,8.8,1.0,121.7,299.4,Material Recovery
Wood,40094.9,88.99,2.13,6.95,3.5,43.32,109.1,Reuse
Industrial Residue,76.6,64.98,44.9,23.6,2.0,88.74,23.9,Energy Recovery
Plastic,68.9,58.77,21.22,20.41,2.0,172.03,94.4,Energy Recovery
Metal,154.4,85.67,9.7,3.87,2.0,170.26,215.7,Recycling
Industrial Residue,5858.0,80.22,25.16,9.98,1.0,140.99,289.1,Material Recovery
Construction,29259.4,61.76,26.08,4.26,7.0,219.73,17.8,Material Recovery
Wood,726.0,77.72,8.96,9.48,2.0,32.25,50.6,Reuse
Plastic,1235.3,81.91,10.08,18.19,2.0,106.6,195.4,Recycling
Plastic,52.4,92.01,19.21,8.37,1.0,71.45,93.1,Recycling
Rubber,163.1,54.01,31.0,20.22,3.5,162.75,44.4,Energy Recovery
E-waste,3476.2,74.76,25.37,32.04,2.0,330.55,223.2,Material Recovery
Textile,252.0,17.68,64.5,35.77,2.0,274.91,55.4,Disposal
Organic,25112.7,37.4,53.93,49.2,3.5,306.51,411.7,Disposal
Glass,21637.1,92.87,12.14,9.35,2.0,66.93,241.3,Recycling
Industrial Residue,47889.0,87.32,29.87,20.05,1.0,179.08,82.7,Material Recovery
Metal,14384.8,89.57,9.1,1.15,7.0,19.19,9.5,Reuse
Rubber,51.0,76.07,23.01,10.51,3.5,138.92,185.4,Recycling
Metal,150.3,91.02,20.42,5.15,1.0,108.42,42.6,Recycling
Rubber,9063.2,50.95,29.15,29.62,2.0,124.57,200.5,Energy Recovery
Rubber,86.3,44.06,22.64,9.3,3.5,193.29,31.0,Energy Recovery
Textile,126.9,47.12,44.12,21.22,3.5,142.87,39.5,Energy Recovery
Industrial Residue,134.9,64.3,37.37,30.59,5.0,199.76,263.3,Energy Recovery
Paper,24155.5,37.22,95.44,58.94,2.0,330.65,276.1,Disposal
Wood,277.5,92.14,6.3,3.93,1.0,47.35,96.5,Reuse
E-waste,31577.2,49.58,26.89,10.44,1.0,110.63,219.8,Material Recovery
Metal,4578.3,49.94,41.84,6.62,0.25,268.64,142.1,Material Recovery
Textile,908.0,81.59,22.28,21.26,1.0,96.19,182.9,Recycling
Plastic,67.3,92.15,20.59,10.62,2.0,62.68,147.7,Recycling
Rubber,5217.0,42.03,30.23,16.15,5.0,195.53,184.3,Energy Recovery
Rubber,72.3,46.77,31.66,23.11,3.5,199.53,107.0,Energy Recovery
Metal,106.1,71.62,18.89,3.85,1.0,307.71,168.8,Material Recovery
Wood,6846.0,53.24,24.16,35.5,1.0,225.45,236.6,Energy Recovery
Organic,2110.1,60.09,28.85,62.15,0.5,118.94,129.8,Energy Recovery
Metal,18886.0,55.03,30.2,8.42,0.5,233.88,95.3,Material Recovery
Plastic,629.5,75.84,1.27,14.23,1.0,58.22,110.9,Reuse
Organic,3539.5,58.71,48.94,54.58,1.0,198.97,202.5,Energy Recovery
Glass,4733.9,88.37,17.81,8.48,1.0,109.9,132.3,Recycling
Plastic,27665.6,82.78,20.12,20.14,0.25,134.58,237.4,Recycling
Textile,51.3,66.24,47.06,22.82,7.0,199.06,140.2,Energy Recovery
Metal,320.8,70.01,6.54,7.81,5.0,144.14,17.0,Recycling
Wood,1151.3,90.38,1.78,8.39,7.0,84.45,51.1,Reuse
Glass,5535.6,76.72,16.69,8.35,0.25,134.32,185.2,Recycling
E-waste,149.5,55.22,24.05,14.46,14.0,211.89,122.5,Material Recovery
Plastic,1121.8,76.77,11.68,11.92,3.5,39.28,158.6,Reuse
Plastic,349.5,22.78,56.3,26.19,7.0,274.5,58.7,Disposal
Rubber,92.8,54.48,18.23,10.92,3.5,210.78,122.4,Energy Recovery
Metal,368.0,82.38,9.11,5.69,0.5,68.54,127.5,Reuse
Textile,15804.8,91.38,4.58,7.01,5.0,73.68,119.5,Recycling
E-waste,67.0,52.79,35.67,4.28,3.5,219.31,196.8,Material Recovery
E-waste,1956.6,62.43,18.55,27.33,14.0,299.45,314.2,Material Recovery
E-waste,21680.7,54.68,15.09,5.98,2.0,116.06,136.1,Material Recovery
E-waste,719.7,64.03,40.87,12.43,5.0,293.98,212.9,Material Recovery
Metal,148.7,89.02,6.28,8.53,7.0,16.81,37.5,Reuse
Industrial Residue,1095.9,82.2,31.78,27.18,3.5,147.21,80.4,Material Recovery
Wood,3907.1,42.64,43.75,34.58,1.0,74.43,180.9,Energy Recovery
Metal,123.3,51.4,27.05,7.74,0.5,238.64,163.8,Material Recovery
Construction,72.9,59.21,18.66,21.88,3.5,220.01,179.9,Material Recovery
E-waste,1238.3,57.25,41.66,13.18,0.5,150.18,27.0,Material Recovery
Textile,122.5,10.77,51.48,67.67,3.5,436.25,70.8,Disposal
Industrial Residue,527.7,15.02,50.5,39.3,0.25,266.75,361.5,Disposal
Organic,45799.9,14.65,84.48,76.41,0.5,179.18,180.4,Disposal
Industrial Residue,2864.6,9.61,59.82,36.66,3.5,174.05,32.8,Disposal
Industrial Residue,39162.4,69.86,30.1,28.06,1.0,150.81,223.2,Material Recovery
Construction,49978.7,89.69,1.49,6.26,3.5,54.68,139.6,Reuse
Wood,24120.7,51.45,34.39,35.81,7.0,106.55,220.4,Energy Recovery
Construction,1047.7,15.55,70.44,50.41,7.0,316.65,438.5,Disposal
Plastic,107.8,22.51,68.31,75.5,0.5,355.38,356.3,Disposal
Paper,21896.5,77.43,13.04,18.47,0.5,109.61,76.8,Recycling
Construction,176.5,9.56,78.74,35.77,1.0,186.65,397.0,Disposal
Metal,648.1,90.82,23.51,1.31,2.0,83.08,122.0,Recycling
Rubber,1421.4,66.57,24.35,13.58,14.0,190.86,22.8,Energy Recovery
Industrial Residue,18925.0,9.48,45.81,83.23,1.0,367.56,299.4,Disposal
E-waste,9830.0,87.66,21.74,15.52,1.0,276.95,200.6,Material Recovery
Glass,20784.4,85.42,1.63,6.34,1.0,68.99,163.1,Reuse
Organic,342.3,42.84,82.7,53.74,2.0,403.36,244.0,Disposal
Industrial Residue,5181.1,60.18,27.25,10.41,7.0,193.57,31.6,Material Recovery
Organic,173.7,42.8,30.48,54.33,2.0,174.38,234.6,Energy Recovery
Metal,244.6,62.82,13.3,5.3,5.0,291.6,131.3,Material Recovery
Glass,7463.0,91.21,7.76,7.62,2.0,104.72,218.7,Recycling
Plastic,7347.1,71.17,7.8,20.13,3.5,75.81,77.6,Recycling
Metal,828.1,73.02,11.94,3.73,2.0,173.68,64.2,Recycling
Construction,93.4,81.41,32.07,8.62,2.0,276.42,45.9,Material Recovery
Plastic,21578.9,94.96,4.04,1.98,7.0,17.28,90.0,Reuse
Textile,281.8,94.61,9.71,3.35,2.0,84.3,102.0,Reuse
Construction,3659.1,19.06,74.78,52.92,1.0,309.62,195.8,Disposal
Industrial Residue,446.1,74.45,28.63,25.09,2.0,229.15,105.5,Energy Recovery
E-waste,1316.4,66.18,28.8,23.21,3.5,274.66,49.8,Material Recovery
Industrial Residue,652.2,27.87,47.05,34.2,14.0,257.04,228.9,Disposal
Organic,1496.0,62.17,24.63,62.96,0.5,134.47,187.8,Energy Recovery
Wood,79.1,64.69,54.57,30.01,7.0,227.56,244.1,Energy Recovery
Plastic,1330.5,88.15,10.82,13.64,1.0,31.02,116.6,Reuse
Rubber,218.2,63.13,49.92,24.04,7.0,186.18,136.2,Energy Recovery
Plastic,19922.0,35.67,65.72,27.03,5.0,460.96,222.6,Disposal
Construction,6012.7,5.41,51.79,44.39,3.5,388.27,324.6,Disposal
Paper,43700.0,68.66,17.53,11.87,5.0,168.87,203.1,Recycling
Metal,1475.5,84.36,24.0,5.55,0.5,82.47,118.2,Recycling
Glass,7968.7,94.89,8.63,4.35,7.0,32.96,146.4,Reuse
Metal,2446.4,90.11,1.12,1.49,1.0,94.48,25.7,Reuse
E-waste,3454.1,56.43,29.43,14.09,1.0,236.17,87.3,Material Recovery
Industrial Residue,2924.2,61.77,15.87,15.89,0.5,299.48,106.0,Material Recovery
Plastic,133.5,10.28,61.18,56.83,0.5,174.13,75.0,Disposal
Metal,662.1,59.72,18.94,0.07,1.0,238.93,135.4,Material Recovery
Rubber,527.0,66.61,12.74,23.81,3.5,168.91,105.2,Recycling
Construction,4060.1,40.06,82.11,30.33,3.5,270.21,81.4,Disposal
Metal,494.3,77.77,21.21,7.88,1.0,177.63,274.6,Material Recovery
Wood,49482.5,76.02,10.51,6.99,1.0,93.3,170.9,Reuse
Plastic,3852.2,66.81,19.79,15.17,2.0,96.08,178.4,Recycling
Glass,102.0,82.01,11.35,2.55,2.0,137.58,64.8,Recycling
Glass,1408.8,83.81,9.79,9.57,5.0,132.47,81.4,Recycling
Organic,24566.2,44.54,56.86,70.13,1.0,396.13,345.6,Disposal
Glass,830.9,69.66,7.29,4.66,2.0,170.23,59.8,Recycling
Rubber,127.6,66.15,52.7,27.97,1.0,136.65,58.3,Energy Recovery
Industrial Residue,98.6,28.29,86.96,46.68,3.5,425.1,55.2,Disposal
Textile,9647.6,72.49,18.23,23.54,3.5,106.08,148.6,Recycling
Industrial Residue,5053.4,41.34,85.05,45.49,3.5,474.22,277.9,Disposal
Industrial Residue,642.7,23.93,83.07,81.64,7.0,352.51,195.7,Disposal
Glass,5510.6,87.93,9.59,9.89,0.5,171.64,104.5,Recycling
Construction,1421.0,93.29,2.63,4.68,3.5,93.01,96.8,Reuse
Glass,157.2,72.51,11.44,9.04,1.0,81.24,177.9,Recycling
Wood,1944.6,71.48,31.17,14.57,7.0,147.36,216.9,Energy Recovery
Organic,19011.5,54.61,27.68,44.62,2.0,221.94,18.5,Energy Recovery
Organic,5900.4,43.96,63.4,73.41,1.0,256.85,73.8,Disposal
Glass,33478.0,77.82,13.91,9.72,3.5,146.08,86.5,Recycling
E-waste,728.6,76.84,31.75,20.71,2.0,224.44,183.2,Material Recovery
Glass,5228.6,83.04,9.91,7.51,1.0,26.93,9.3,Reuse
Industrial Residue,39201.4,56.87,22.24,29.73,1.0,230.06,229.1,Material Recovery
Textile,3677.3,36.84,85.79,75.67,1.0,399.76,306.8,Disposal
Paper,712.0,72.44,5.94,9.55,2.0,73.52,217.7,Recycling
Plastic,2226.7,90.01,9.24,4.46,7.0,47.24,127.2,Reuse
Glass,498.4,90.08,9.37,7.35,0.25,56.41,147.4,Reuse
Wood,13105.6,89.14,9.81,1.11,3.5,38.92,32.2,Reuse
Metal,280.3,97.99,6.46,0.5,5.0,48.8,145.2,Reuse
Metal,187.0,48.56,21.67,8.33,3.5,254.14,90.9,Material Recovery
Rubber,686.6,39.35,48.12,30.45,2.0,172.23,34.4,Energy Recovery
Organic,249.5,46.66,20.33,59.41,7.0,169.59,121.2,Energy Recovery
Paper,429.5,80.08,21.9,20.29,0.5,163.68,80.8,Recycling
Metal,58.3,92.56,20.89,3.24,2.0,163.83,195.8,Recycling
Construction,590.1,81.08,9.16,4.25,3.5,83.59,63.1,Reuse
E-waste,1083.2,58.7,31.34,12.41,5.0,193.53,194.0,Material Recovery
Industrial Residue,20646.5,12.4,83.1,61.24,0.5,331.0,22.5,Disposal
Industrial Residue,99.5,22.66,70.8,68.95,2.0,267.07,79.2,Disposal
Glass,276.9,81.13,17.28,2.18,3.5,157.87,29.6,Recycling
Construction,201.1,80.08,6.7,13.41,1.0,94.59,118.7,Reuse
Industrial Residue,1328.4,20.9,56.57,69.95,2.0,411.51,345.8,Disposal
Rubber,9879.0,62.0,30.43,21.59,1.0,164.52,108.1,Energy Recovery
Plastic,5827.3,33.89,70.99,54.32,3.5,368.29,418.4,Disposal
Plastic,4501.8,66.36,16.83,17.0,3.5,96.24,163.4,Recycling
Rubber,1706.2,77.91,4.21,8.73,2.0,118.37,148.1,Recycling
E-waste,5261.3,81.29,19.45,6.88,5.0,127.49,299.1,Material Recovery
Industrial Residue,2543.5,22.0,49.82,64.65,1.0,241.56,55.2,Disposal
Rubber,5424.0,38.98,19.96,7.25,14.0,125.05,193.4,Energy Recovery
Construction,887.1,80.48,4.4,8.71,0.5,46.27,121.4,Reuse
Wood,1043.3,40.77,24.48,37.01,1.0,160.21,142.4,Energy Recovery
Metal,100.6,91.51,4.31,2.06,0.25,120.7,178.8,Recycling
Plastic,1113.6,86.86,9.18,13.92,7.0,57.98,116.2,Reuse
Industrial Residue,2341.2,20.81,51.27,33.38,1.0,298.23,282.5,Disposal
Rubber,16696.7,57.04,29.4,18.25,1.0,75.72,24.9,Energy Recovery
Industrial Residue,1791.5,62.13,23.85,22.17,3.5,125.78,42.5,Material Recovery
E-waste,308.3,52.25,17.96,10.19,2.0,156.38,229.5,Material Recovery
Metal,130.7,81.89,10.04,6.96,3.5,48.13,5.9,Reuse
Plastic,133.7,39.53,35.82,27.79,3.5,227.21,275.6,Energy Recovery
Construction,1491.4,98.91,3.78,16.58,0.5,82.49,84.1,Reuse
Industrial Residue,594.6,74.48,26.72,21.75,3.5,183.11,82.1,Material Recovery
Industrial Residue,18454.3,52.76,38.49,14.59,0.5,71.83,237.1,Energy Recovery
Plastic,104.6,71.0,19.83,16.62,0.25,177.68,303.8,Material Recovery
Industrial Residue,3727.6,28.49,68.2,65.22,1.0,469.35,394.7,Disposal
Plastic,3888.5,37.94,47.14,31.32,5.0,451.52,87.5,Disposal
Metal,3937.4,93.7,5.84,6.95,5.0,15.36,140.8,Reuse
Wood,129.1,57.23,44.28,29.92,0.5,124.9,159.5,Energy Recovery
Wood,6999.1,91.26,11.52,7.74,0.25,68.7,114.8,Reuse
Metal,5473.1,90.3,4.68,8.01,7.0,22.14,111.3,Reuse
Metal,12256.5,78.06,4.04,8.99,5.0,86.41,41.8,Reuse
Construction,1665.5,51.06,14.26,4.58,0.25,243.83,138.6,Material Recovery
Textile,47620.2,38.5,44.93,19.66,5.0,109.07,227.5,Energy Recovery
Metal,9522.6,90.44,17.07,8.58,0.5,91.2,142.6,Recycling
